Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Anacoluto,anacolùto,Costrutto sintattico in cui non c'è concordanza tra le parti della frase (es. soggetto sospeso).,Sgrammaticatura; errore sintattico,Concordanza,"Derivato dal greco ""anakolouthos"" (che non segue).",Io speriamo che me la cavo contiene un anacoluto.,Manzoni usa spesso l'anacoluto per riprodurre il parlato.,È un errore grammaticale che può diventare figura retorica.,Molto bassa,Grammatica / Linguistica,Anaccoluto (doppia c),No
,Analemma,analèmma,Figura a forma di otto descritta dal Sole nel cielo se fotografato alla stessa ora durante l'anno.,-,-,"Derivato dal greco ""analemma"" (sostegno, base).",La meridiana include spesso il tracciato dell'analemma.,Fotografare un analemma richiede un anno intero di pazienza.,La forma dell'analemma dipende dall'inclinazione dell'asse terrestre.,Molto bassa,Astronomia,Analema (una m),No
,Anatema,anatèma,"Maledizione solenne, scomunica ecclesiastica; condanna severa.",Maledizione; scomunica; condanna; esecrazione,Benedizione; elogio; approvazione,"Derivato dal greco ""anathema"" (offerta votiva, poi maledizione).",Il Papa lanciò l'anatema contro gli eretici.,Scagliare un anatema contro i traditori.,Oggi la parola è usata per indicare una condanna morale assoluta.,Bassa,Religioso / Letterario,Nessuno,No
,Ancestrale,ancestràle,"Che risale agli antenati remoti; atavico, istintivo.",Atavico; antico; primordiale; ereditario,Moderno; recente; acquisito; nuovo,"Derivato dal francese ""ancestral"", da ""ancêtre"" (antenato).",Sentì una paura ancestrale di fronte al buio.,È un rito ancestrale tramandato da millenni.,Il legame con la terra è un sentimento ancestrale.,Media,Antropologia / Comune,Nessuno,No
,Ancorché,ancorché,"Sebbene, benché, quantunque (congiunzione concessiva).",Sebbene; benché; quantunque; nonostante,-,"Composto da ""ancora"" e ""che"".","Accettò l'incarico, ancorché a malincuore.","È un'ipotesi valida, ancorché non dimostrata.","Ancorché stanco, continuò a camminare.",Bassa,Formale / Burocratico,Scritto staccato (ancor che),No
,Anelito,anèlito,"Respiro affannoso; in senso figurato, desiderio ardente e profondo.",Desiderio; brama; aspirazione; respiro,Disinteresse; indifferenza; repulsione,"Derivato dal latino ""halare"" (alitare, respirare).",L'anelito di libertà dei popoli oppressi.,Esalò l'ultimo anelito prima di morire.,La sua poesia è un continuo anelito verso l'infinito.,Bassa,Letterario,Nessuno,No
,Anfibologia,anfibologìa,Ambiguità di un discorso che può essere interpretato in due modi diversi.,Ambiguità; doppio senso; equivoco; oscurità,Chiarezza; univocità; precisione,"Derivato dal greco ""amphibolia"" (incertezza).",La frase è un'anfibologia: non si capisce chi sia il soggetto.,Gli oracoli usavano l'anfibologia per non sbagliare mai previsione.,Bisogna evitare le anfibologie nella stesura dei contratti.,Molto bassa,Linguistica / Retorica,Nessuno,No
,Angiosperme,angiospèrme,Piante vascolari con fiori veri e semi protetti da un frutto (opposto a Gimnosperme).,Piante a fiori,Gimnosperme,"Derivato dal greco ""angeion"" (vaso) e ""sperma"" (seme).",Le angiosperme dominano la maggior parte della flora terrestre.,Il melo e la rosa sono esempi di angiosperme.,La comparsa delle angiosperme rivoluzionò gli ecosistemi.,Bassa,Botanica,Nessuno,No
,Annoso,annóso,"Che ha molti anni, vecchio; che dura da molto tempo.",Vecchio; antico; datato; inveterato,Nuovo; recente; fresco; giovane,"Derivato dal latino ""annosus"" (pieno di anni).",È un problema annoso che nessuno riesce a risolvere.,Quercia annosa e maestosa al centro del parco.,La questione dei confini è una disputa annosa.,Media,Comune,Nessuno,No
,Anosognosia,anosognosìa,Incapacità patologica di riconoscere la propria malattia o deficit funzionale.,-,Consapevolezza (di malattia),"Derivato dal greco ""a-"" (privativo), ""nosos"" (malattia), ""gnosis"" (conoscenza).",Il paziente colpito da ictus mostrava una chiara anosognosia.,L'anosognosia rende difficile la riabilitazione.,"Non è negazione psicologica, ma un deficit neurologico: l'anosognosia.",Molto bassa,Medico / Neuropsicologia,Nessuno,No
,Antispecismo,antispecìsmo,Movimento filosofico che si oppone alla discriminazione basata sulla specie (specismo).,Egualitarismo biologico,Specismo,"Composto da ""anti-"" e ""specismo"".",L'antispecismo promuove l'uguaglianza tra tutti gli esseri senzienti.,È diventato vegano per ragioni legate all'antispecismo.,I filosofi antispecisti criticano l'antropocentrismo.,Bassa,Filosofia / Etica,Nessuno,No
,Apodittico,apodìttico,Che dimostra in modo evidente e inconfutabile; che non ammette repliche.,Inconfutabile; evidente; dogmatico; certo,Discutibile; opinabile; incerto; dubbio,"Derivato dal greco ""apodeiktikos"" (dimostrativo).",Ha usato un tono apodittico che ha chiuso la discussione.,"È una verità apodittica, non un'opinione.",Le sue affermazioni apodittiche irritano i colleghi.,Bassa,Filosofia / Formale,Apoditico (una t),No
,Apogeo,apogèo,Punto dell'orbita lunare più lontano dalla Terra; figurato: punto di massimo splendore.,Culmine; apice; vertice; massimo splendore,Perigeo; declino; decadenza; tramonto,"Derivato dal greco ""apogaion"" (lontano dalla terra).",L'impero romano raggiunse il suo apogeo sotto Traiano.,La Luna si trova all'apogeo.,È all'apogeo della sua carriera artistica.,Media,Astronomia / Letterario,Nessuno,No
,Apollineo,apollìneo,"Che si riferisce ad Apollo; armonioso, equilibrato, razionale (opposto a dionisiaco).",Armonioso; equilibrato; sereno; luminoso,Dionisiaco; caotico; istintivo; sregolato,"Derivato dal dio greco ""Apollo"".",La bellezza apollinea delle sculture neoclassiche.,Nietzsche contrappone lo spirito apollineo a quello dionisiaco.,Un viso dai tratti apollinei e sereni.,Bassa,Filosofia / Arte,Apolineo (una l),No
,Apologetico,apologètico,Che ha fine di difesa o esaltazione di una dottrina o persona.,Difensivo; elogiativo; giustificativo,Accusatorio; critico; denigratorio,"Derivato dal greco ""apologetikos"".",Scrisse un trattato apologetico sul Cristianesimo.,Il tono apologetico della biografia era evidente.,"Non servono discorsi apologetici, ma fatti concreti.",Bassa,Religioso / Letterario,Nessuno,No
,Apologia,apologìa,Discorso o scritto a difesa o esaltazione di qualcuno o qualcosa.,Difesa; elogio; esaltazione; panegirico,Accusa; critica; biasimo; condanna,"Derivato dal greco ""apologia"" (difesa).",Socrate pronunciò la sua apologia davanti ai giudici.,Fare apologia di reato è perseguibile per legge.,Ha scritto un'appassionata apologia della libertà.,Media,Giuridico / Letterario,Nessuno,No
,Apologo,apòlogo,Breve racconto allegorico a fine morale; favola.,Favola; parabola; allegoria; racconto morale,-,"Derivato dal greco ""apologos"" (racconto).",L'apologo di Menenio Agrippa calmò la plebe.,È un apologo sulla vanità umana.,Raccontò un breve apologo per spiegare la situazione.,Bassa,Letterario,Nessuno,No
,Apostata,apòstata,Chi ha rinnegato la propria fede religiosa o le proprie idee politiche.,Rinnegato; disertore; traditore,Fedele; credente; seguace,"Derivato dal greco ""apostates"" (disertore).",L'imperatore Giuliano fu soprannominato l'Apostata.,È considerato un apostata dal suo vecchio partito.,Gli apostati venivano perseguitati severamente.,Bassa,Religioso / Politico,Nessuno,No
,Apostrofare,apostrofàre,Rivolgersi a qualcuno in modo brusco e diretto.,Aggredire (verbalmente); interpellare; sgridare,Tacere; ignorare,"Derivato dal greco ""apostrephein"" (volgere altrove).",Lo apostrofò per strada con parole dure.,Venne apostrofato dal direttore per il ritardo.,Non permetto che mi si apostrofi con questo tono.,Media,Comune,Nessuno,No
,Apoteca,apotèca,"Nell’antica casa romana, locale destinato a custodire provviste (spec. vino e derrate); per estensione, dispensa o deposito di viveri.",Bottega; magazzino; farmacia,-,"Derivato dal latino tardo ""apotheca"", dal greco ""apothḗkē"" (deposito).",L’archeologo spiegò che quel vano era l’apoteca della villa romana.,La vecchia cascina aveva un’apoteca colma di botti e sacchi di grano.,Nel romanzo si descrive l’apoteca come il cuore delle provviste di famiglia.,Molto bassa,Storico / Arcaico,"Confusione con “farmacia”, significato non corretto in italiano.",No
,Apoteosi,apoteòsi,"Deificazione (presso gli antichi); esaltazione massima, trionfo, scena finale spettacolare.",Trionfo; glorificazione; esaltazione; divinizzazione,Disfatta; umiliazione; fallimento,"Derivato dal greco ""apotheōsis"" (divinizzazione).",Il concerto si concluse con l'apoteosi dei fuochi d'artificio.,Fu l'apoteosi della sua carriera sportiva.,L'apoteosi di Ercole è un tema artistico frequente.,Media,Comune,Nessuno,No
,Apotropaico,apotropàico,Che serve ad allontanare gli influssi maligni o la sfortuna.,Scaramantico; protettivo; magico,-,"Derivato dal greco ""apotropaios"" (che allontana).",Il cornetto rosso è un classico oggetto apotropaico.,Le maschere mostruose avevano funzione apotropaica sui templi.,Gesti apotropaici per scongiurare la malasorte.,Bassa,Antropologia / Arte,Nessuno,No
,Appannaggio,appannàggio,"Attribuzione esclusiva, privilegio, prerogativa.",Privilegio; prerogativa; esclusiva; attributo,Onere; dovere; svantaggio,"Dal francese ""apanage"" (dare il pane).",L'eleganza è appannaggio di pochi.,Un tempo l'istruzione era appannaggio dei ricchi.,Non è una qualità che sia appannaggio esclusivo degli uomini.,Media,Comune / Formale,Appanaggio (una n),No
,Appropinquarsi,appropinquàrsi,"Avvicinarsi (spesso usato in tono ironico, solenne o scherzoso).",Avvicinarsi; accostarsi; appressarsi,Allontanarsi; distanziarsi; scostarsi,"Derivato dal latino ""ad-propinquare"".",Si vide appropinquarsi un individuo sospetto.,L'ora di cena si appropinqua.,Non osava appropinquarsi al trono.,Bassa,Letterario / Ironico,Apropinquarsi (una p),No
,Araldo,aràldo,"Messaggero, annunciatore; ufficiale che nel Medioevo portava ordini e curava i blasoni.",Messaggero; annunciatore; banditore; precursore,-,"Derivato dal germanico ""hari-wald"".",Fu l'araldo di una nuova era di pace.,L'araldo lesse il proclama reale.,La primavera è l'araldo dell'estate.,Bassa,Storico / Letterario,Nessuno,No
,Arcano,arcàno,"Misterioso, segreto, occulto; sostantivo: segreto profondo.",Misterioso; segreto; occulto; enigmatico,Palese; evidente; chiaro; manifesto,"Derivato dal latino ""arcanus"" (chiuso nell'arca).",I disegni del destino sono arcani.,Svelare l'arcano significa risolvere il mistero.,Gli arcani maggiori dei tarocchi.,Media,Letterario / Esoterico,Nessuno,No
,Armida,armìda,Donna di fascino irresistibile e pericoloso (antonomasia).,Incantatrice; seduttrice; ammaliatrice,-,"Dal personaggio della ""Gerusalemme Liberata"" di Tasso.",Quella donna è una vera Armida.,Temeva di cadere nella rete di un'Armida.,"Uso raro, colto e letterario.",Molto bassa,Letterario,Nessuno,No
,Arronzare,arronzàre,Eseguire un lavoro in modo frettoloso e approssimativo; anche: confondere.,Abborracciare; pasticciare; fare male; sbrigare,Curare; perfezionare; fare con diligenza,"Etimologia incerta, forse onomatopeica o dialettale.",Ha arronzato il compito pur di finire presto.,"Non arronzare, fai le cose per bene!",Spesso usato nel sud Italia.,Bassa (Regionale),Colloquiale,Aronzare (una r),No
,Aseità,aseità,Condizione di ciò che deve la sua esistenza solo a se stesso (attributo di Dio).,Indipendenza assoluta; esistenza per sé,Dipendenza; contingenza,"Derivato dal latino ""a se"" (da sé).",L'aseità è un attributo divino nella teologia scolastica.,"L'uomo non possiede l'aseità, poiché è creatura.",Concetto chiave nella filosofia di Spinoza.,Molto bassa,Filosofia / Teologia,Nessuno,No
